content_id,title,중분류,소분류
yongsan_071,쾨닉 서울,전시시설,미술관/화랑
yongsan_072,용산도시기억전시관,전시시설,전시관
yongsan_073,꾸에바마테라,카페/ 찻집,카페
yongsan_074,맥심플랜트,카페/ 찻집,카페
yongsan_075,해방촌 혼고,한식,관광식당
yongsan_076,오근내닭갈비,한식,관광식당
yongsan_077,메종 한남,외국식,서양식
yongsan_078,왜고개,종교성지,기독교
yongsan_079,오만지아,외국식,서양식
yongsan_080,용산역광장,도시공원,주제공원
yongsan_081,IOU,외국식,서양식
yongsan_082,거북선나루터(이촌 수상훈련장),자연경관(하천‧해양),강
yongsan_083,후암시장,시장,상설시장
yongsan_084,성촌공원,도시공원,시민공원
yongsan_085,만리시장,시장,상설시장
yongsan_086,해방촌마을,도시.지역문화관광,마을관광지
yongsan_087,후암거실,기타문화관광지,기타문화시설
yongsan_088,아모레퍼시픽미술관,전시시설,미술관/화랑
yongsan_089,민주화운동기념관,전시시설,기념관
yongsan_090,공기(Gongi),한식,관광식당
yongsan_091,리틀넥한남,외국식,서양식
yongsan_092,챔프커피 이태원,카페/ 찻집,카페
yongsan_093,용산공원 부분개방부지,도시공원,주제공원
yongsan_094,별책부록,기타문화관광지,서점
yongsan_095,르몽블랑,카페/ 찻집,카페
yongsan_096,알부스갤러리,전시시설,미술관/화랑
yongsan_097,케냐키암부,카페/ 찻집,카페
yongsan_098,일미장어,한식,관광식당
yongsan_099,린다픽,호스텔,게스트하우스
yongsan_100,자코비버거,간이음식,"피자, 햄버거, 샌드위치 및 유사음식"
yongsan_101,미미옥,외국식,기타외국식
yongsan_102,효뜨,외국식,기타외국식
yongsan_103,후암편백,외국식,기타외국식
yongsan_104,알페도,외국식,기타외국식
yongsan_105,도깨비코티지,외국식,서양식
yongsan_106,다과상사,카페/ 찻집,카페
yongsan_107,몽탄,한식,관광식당
yongsan_108,서울서커스페스티벌,행사,기타행사
yongsan_109,보니스피자펍,외국식,서양식
yongsan_110,제132주년 동학농민혁명 기념식,행사,기타행사
yongsan_111,고두리 용산점,한식,관광식당
yongsan_112,남영돈,한식,관광식당
yongsan_113,쥬에,외국식,중식
yongsan_114,태향,외국식,중식
