tats_cd,association_name,district_code,content_id,place_title,match_method
6633023fba65b8f170f647ffe6178b82,동대문디자인플라자/뮤지엄,140,2470006,동대문디자인플라자(DDP),substring
0dfeeac49a5f9056fd1833a00b47a7a4,낙산공원,110,129501,낙산공원,exact
7cb2ba9f2f7b74266f03b3ec7176519a,보신각,110,126516,보신각터,substring
4fd0e47cc522cf31687dd492dfb889f9,테르트르,110,2783358,테르트르카페,substring
b9c9b1d4867675457df93eb7b3e1580e,스탠포드호텔/명동,140,264311,명동,substring
2ae519a915e89b4f879f7d17210dfcdc,수유시장,305,2741592,수유시장,exact
c0eca72374543e40effb77bc19ec4d18,더키친일뽀르노/광화문점,110,126512,광화문,substring
e827b3fafa55bef691d75fd236559fff,오장동함흥냉면,140,2624847,함흥냉면,substring
084a3115574ea9fcba185af354132142,쓰리세븐호텔,230,2590471,쓰리세븐호텔,exact
bde9d570509a3b900a11ba6fb2f25310,대학로,110,126534,대학로,exact
d761218e6163daa798d55e35c6ac2c1d,대각사,110,299980,대각사(서울),normalized
5c77495e9c29ee7339dfeb4797949e2d,노룬산골목시장,215,2751406,노룬산골목시장,exact
25c8763d77a3bb57ce9914c5d5940176,에스팩토리/B동,200,2745602,에스팩토리,substring
4647a7186478062a4d49e528c2af21ce,화계사,305,126507,화계사(서울),normalized
e1dddacca1cc3b7128ae272f0b532a51,해밀톤호텔,170,142767,해밀톤 호텔,exact
c088da1e6bdb5665d31dc563a4db8c97,전곡시장,230,2756105,전곡시장,exact
a2f485f90b137b2ac2c736d16d7dc42f,트레블로지명동남산호텔,140,264311,명동,substring
b39f4258ab825aa18d4c23a9e8f32d30,해남낙지,140,2807678,해남낙지,exact
40300f3e299173fa0ebc9eb9447026bb,광화문국밥/본점,140,2914214,광화문국밥,substring
454a708c3e97b3c70cee9e6ac74c070e,롯데시티호텔/명동,140,264311,명동,substring
bbc2d930b987120ed7925dfad1e97dee,효창공원,170,127643,서울 효창공원,normalized
466be325110cd1a785b3d414d975edcc,통인시장,110,1590323,통인시장,exact
75954bbe31b12dcd58ed3d90c1578b1b,이문설농탕,110,403093,이문설농탕,exact
32745bd0546c0fc0552f18bbe6d56602,청계천수족관거리,110,129507,청계천,substring
d00d4f14f0a4727995431a8c191e9ecb,애성회관,140,3094628,애성회관 한우곰탕,substring
5f00a3b9c09ecc6d4d82f5f04822d97e,국시집,290,403337,국시집,exact
41c4ee89adfd08c863ca5f9933a6f7da,한남동감자탕/한남동본점,170,2855434,한남동감자탕,substring
779e42d5ac3aeedb269f664bbc9c9f18,아이러브신당동,140,697349,아이러브신당동떡볶이,substring
1457fe6b06926b69c7758da251e2c1c4,스타벅스/용산전자랜드점,170,132229,용산전자랜드,substring
06f81215aa7fdb6e30da21f32aa7028f,호텔국도,140,232290,호텔국도,exact
9072475dc476da0fa2c14d1f4fa521fc,안중근의사기념관,140,129794,안중근의사기념관,exact
36cd37c4efeb56bfe23c45b6d6d2f82a,예술가의집,110,2739475,예술가의집,exact
8f3c468ef60ef8e1afe3e6e17e584d0f,성북동빵공장,290,2834536,성북동빵공장,exact
c387c3daa995e0569a5bb5c515bc512d,대한문,140,1605981,덕수궁 대한문,substring
669e8a1aec121433965c773b86d65ea9,소월아트홀,200,3084412,소월아트홀,exact
5d9741883032dcb4480f497444374520,신창시장,320,2751420,신창시장,exact
855f21fcf04dec815994ddfd89f1501d,목인박물관 목석원,110,231976,목인박물관 목석원,exact
41f7f4f0d4293bc64a5f2d3c38daaf98,부암동7번지제빵소,110,1367251,부암동,substring
d1123d91a33cec1c77e3ae42fcc15ca5,석파정,110,3449598,석파정,exact
81b6d4a04e26b10c7cd6aa495c6e278e,박노수미술관,110,2739454,박노수미술관,exact
f5b9bb29c834e05489d441b1d5a1079a,대성집,110,2438867,대성집,exact
9f8d7c416ec72268bb09f43608eb3a1e,세검정,110,126494,세검정 터,substring
fdcb99ac4181bf66d71bb332d9fb6232,이도림,110,3396961,이도림 블로트커피,substring
ad8fb101cf98682dd69ded7a7a50b1e3,초안산수국동산,350,2031668,초안산,substring
7f9cfda0aac13ad9683fa1da5cf84d0e,묘각사,110,128872,낙산묘각사,substring
efe0cec96bdcb5d3a95caa3c9e3062e7,조계사,110,128144,조계사(서울),normalized
f75dbcbf4ff509a046174938d14b9fb9,백사실계곡,110,809372,백사실계곡,exact
52e29d290c688d2abdf7827bfc849720,진주회관,140,578330,진주회관,exact
ffdbb7cb23d98fad9a1c3dbbcf1e8247,청계천박물관,200,130658,청계천박물관,exact
5805e952a7f7f32adb3f308169958bc1,뚝도청춘시장,200,2745620,뚝도청춘시장,exact
4c5495fca316f398acbb8eeb0673ec3d,북촌생활사박물관,110,231971,북촌생활사박물관,exact
8c70d8d20528568be11bcac548f02c55,밀리오레호텔/서울명동,140,264311,명동,substring
b2e840beb2fcb66bb33d988c822656ad,뚝섬한강공원,215,1030763,뚝섬한강공원,exact
